l1_pt,l1_eta,l1_phi,l1_energy,l2_pt,l2_eta,l2_phi,l2_energy,l3_pt,l3_eta,l3_phi,l3_energy,l4_pt,l4_eta,l4_phi,l4_energy,n
93.6523,-0.71105486,-0.4879561,118.342,91.97694,-0.47011048,2.5625188,102.3291,59.763157,-0.7750432,-1.8828984,78.62948,52.000156,0.054045502,1.3258476,52.07611,0.018178646172418593
50.20303,0.9758578,1.5739418,76.0654,48.543858,0.99893653,-1.0407118,74.84646,48.017677,1.2614243,2.6782186,91.56243,35.097225,-0.098905675,-1.0133213,35.26903,0.009263532175126479
78.34675,-1.6209886,0.62667584,205.8871,72.7067,0.47560242,3.0093856,81.08592,56.028286,-0.1517788,-2.097199,56.67488,37.439964,-0.2757172,-0.19046786,38.8721,0.0033040313887730977
74.848465,-0.8750921,-0.68511504,105.3836,70.4133,0.84197134,2.2474926,96.8816,64.68919,0.6443813,-2.364682,78.59075,49.70964,-0.38440502,0.86445236,53.42782,0.020858676739300336
47.229088,-1.1599389,0.55618507,82.72751,46.586357,-0.86477166,-3.0666459,65.11868,44.118942,-1.2031593,-0.02195389,80.09501,42.958176,-0.92648125,-2.6447034,62.75225,0.02713248658873993
50.238155,-0.8413746,0.25171396,69.09431,46.299767,0.093816824,-1.9422623,46.50367,46.101738,-1.9389608,1.9634316,163.5546,18.575457,-2.322101,-2.4417672,95.61852,0.028211234872165744
82.049866,0.12505318,1.5625079,82.69227,61.80892,-0.41970563,-2.1209826,67.33321,31.849228,-2.0347877,-1.1181096,123.9148,17.72073,-1.5492119,-0.04054145,43.59453,0.011943978365616472
57.814907,0.3335121,0.5852198,61.06021,57.812943,-0.294502,3.1227996,60.33821,34.03556,0.4804107,-0.5983402,38.0393,23.121763,1.7775284,-2.4992783,70.33957,0.03150794171609023
86.21261,0.090367116,-0.6296999,86.56486,67.81415,-2.0407555,3.0404372,265.3687,41.035755,-1.3577181,1.1865493,85.03757,18.549007,-1.0400076,2.819074,29.51787,0.042193231552358657
113.15323,-0.8093332,-1.4901438,152.2796,86.2295,-0.776124,1.5341406,113.5306,70.232124,0.07302312,2.3597274,70.41946,43.97631,-1.6924267,-0.5469665,123.5013,0.02384075144581676
56.516033,-1.0178746,-0.31578097,88.40998,40.321537,1.769569,-2.6854336,121.7454,22.702274,0.4085207,2.1949375,24.62315,17.41906,-0.54044116,1.817603,20.02543,0.05079384315601682
86.683495,0.9256781,0.46191496,126.551,75.91786,0.9719569,-2.8044968,114.6911,52.440685,1.1082777,-1.2278545,88.08105,42.926453,0.997847,2.15255,66.13052,0.011262061203915588
88.02137,0.124562986,-2.4624147,88.70512,67.89569,1.5863056,1.3894039,172.8063,36.749153,0.73756975,-0.4831052,47.20655,24.344881,0.34595862,0.23127627,25.81636,0.010125003923403646
147.17464,1.9109789,-1.1088531,508.3146,136.17935,0.054611918,1.6628329,136.3825,30.483072,0.7918526,2.9519606,40.5499,25.053831,1.6545758,-2.748365,67.92136,0.04246227170589565
75.1576,-1.4108068,1.3133215,163.2126,62.33236,-0.8084629,-0.83703804,83.83696,36.28864,0.12791106,-2.7769008,36.58591,30.142715,-0.7229209,-2.679236,38.36829,0.007031472364043163
